house_name,Adresse,Longitude,Latitude,Coordonnées GPS
Fondation Abreu De Grancher,"59 A, bd Jourdan, 75014 Paris",2.3308178869653524,48.82099375,"48.82099375, 2.3308178869653524"
Maison des Étudiants arméniens,"57, bd Jourdan, 75014 Paris",2.331154052045103,48.821521849999996,"48.821521849999996, 2.331154052045103"
Maison des étudiants de l'Asie du Sud-Est,"59 B, bd Jourdan, 75014 Paris",2.3302634062684167,48.82126669649657,"2.3302634062684167,48.82126669649657"
Fondation Avicenne,"27 D, bd Jourdan, 75014 Paris",2.3304387,48.8222238,"48.8222238, 2.3304387"
Ile de Bréhat (donation Haraucourt),,11.0480288,46.3144754,"46.3144754, 11.0480288"
Maison du Cambodge,"27 B, bd Jourdan, 75014 Paris",2.3364570680696675,48.8173869,"48.8173869, 2.3364570680696675"
Fondation Deutsch de la Meurthe ,"37, bd Jourdan, 75014 Paris",2.334966137132534,48.82013715,"48.82013715, 2.334966137132534"
Collège Franco-Britannique,"9 B, bd Jourdan, 75014 Paris",2.3406445517690972,48.81891885,"48.81891885, 2.3406445517690972"
Maison des Etudiants de la Francophonie,"59 E, bd Jourdan, 75014 Paris",2.3299005938990183,48.81970355,"48.81970355, 2.3299005938990183"
Maison de l'Île-de-France,"9 D, bd Jourdan, 75014 Paris",2.337632435685534,48.81729219871935,"2.337632435685534,48.81729219871935"
Résidence Julie-Victoire Daubié,"27 F, bd Jourdan, 75014 Paris",2.333386112870593,48.81870575,"48.81870575, 2.333386112870593"
Résidence Lila,"6, av. René Fonck, 75019 Paris",2.4093228,48.878536,"48.878536, 2.4093228"
Fondation de Monaco,"47 A, bd Jourdan, 75014 Paris",2.3324974949501236,48.82120285,"48.82120285, 2.3324974949501236"
Collège néerlandais,"61, bd Jourdan, 75014 Paris",2.3308315,48.821829,"48.821829, 2.3308315"
Maison de Norvège,"7 N, bd Jourdan, 75014 Paris",2.3428301955384403,48.81789855,"48.81789855, 2.3428301955384403"
"Maison du Portugal - André de Gouveia","7 P, bd Jourdan, 75014 Paris",2.3433637515827215,48.817196550000006,"48.817196550000006, 2.3433637515827215"
Maison des Provinces de France,"55, bd Jourdan, 75014 Paris",2.3318256,48.8213751,"48.8213751, 2.3318256"
Résidence Robert Garric,"21, bd Jourdan, 75014 Paris",2.3375747745677256,48.81919995,"48.81919995, 2.3375747745677256"
Résidence Victor Lyon,"29, bd Jourdan, 75014 Paris",2.3365728769087317,48.81975815,"48.81975815, 2.3365728769087317"
Résidence Lucien Paye,"45 B, bd Jourdan, 75014 Paris",2.3330988,48.820821,"48.820821, 2.3330988"
Maison Internationale Agroparistech (MINA),"7 B, bd Jourdan, 75014 Paris",2.341864760270928,48.81917585,"48.81917585, 2.341864760270928"
Maison de l'Argentine,"27 A, bd Jourdan, 75014 Paris",2.3374587650895133,48.82013165,"48.82013165, 2.3374587650895133"
Maison des élèves ingénieurs Arts et Métiers (ancienne maison),"1, av. Pierre Masse, 75014 Paris",2.334092744823792,48.8183321,"48.8183321, 2.334092744823792"
Maison des élèves ingénieurs Arts et Métiers (nouvelle maison),"27 E, bd Jourdan, 75014 Paris",2.3304387,48.8222238,"48.8222238, 2.3304387"
Fondation Biermans-Lapôtre,"9 A, bd Jourdan, 75014 Paris",2.340856695010772, 48.819483781486134,"2.340856695010772, 48.819483781486134" 
Maison du Brésil,"7 L, bd Jourdan, 75014 Paris",2.3304387,48.8222238,"48.8222238, 2.3304387"
Maison des étudiants canadiens,"31, bd Jourdan, 75014 Paris",2.336700853107068,48.8203886,"48.8203886, 2.336700853107068"
Maison de la Corée,"9 G, bd Jourdan, 75014 Paris ",2.3403395033800694,48.817156499999996,"48.817156499999996, 2.3403395033800694"
Fondation danoise,"7 H, bd Jourdan, 75014 Paris",2.3424659147674425,48.81850275,"48.81850275, 2.3424659147674425"
Collège d'Espagne,"7 E, bd Jourdan, 75014 Paris",2.3412867,48.8186753,"48.8186753, 2.3412867"
Fondation des États-Unis,"15, bd Jourdan, 75014 Paris",2.340018,48.819768,"2.340018,48.819768"
Maison Heinrich Heine,"27 C, bd Jourdan, 75014 Paris",2.3356849544400857,48.8176581,"48.8176581, 2.3356849544400857"
Fondation hellénique,"47 B, bd Jourdan, 75014 Paris",2.3323065238290934,48.820653449999995,"48.820653449999995, 2.3323065238290934"
Maison de l'Inde,"7 R, bd Jourdan, 75014 Paris",2.3430082,48.818636,"48.818636, 2.3430082"
Maison des industries agricoles et alimentaires (MIAA),"5, bd Jourdan, 75014 Paris",2.343111,48.8193683,"48.8193683, 2.343111"
Maison de l'Italie,"7 A, bd Jourdan, 75014 Paris",2.3423243718048563,48.8192452,"48.8192452, 2.3423243718048563"
Maison du Japon,"7 C, bd Jourdan, 75014 Paris",2.3420077161342396,48.81890445,"48.81890445, 2.3420077161342396"
Maison du Liban,"9 E, bd Jourdan, 75014 Paris",2.3383023825486626,48.8172313,"48.8172313, 2.3383023825486626"
Maison du Maroc,"1, bd Jourdan, 75014 Paris",2.3439651,48.818861,"48.818861, 2.3439651"
Maison du Mexique,"9 C, bd Jourdan, 75014 Paris",2.3393042431905364,48.8189796,"48.8189796, 2.3393042431905364"
Maison des étudiants suédois,"7 F, bd Jourdan, 75014 Paris",2.341725710819018,48.8184244,"48.8184244, 2.341725710819018"
Fondation suisse,"7 K, bd Jourdan, 75014 Paris",2.3421860540882316,48.818109,"48.818109, 2.3421860540882316"
Maison de la Tunisie,"45 A, bd Jourdan, 75014 Paris",2.3318622792907386,48.81907165,"48.81907165, 2.3318622792907386"
Maison de l'Egypte,,48.817050940062536, 2.341068829627874,"48.817050940062536, 2.341068829627874"
Maison de la Chine,,11.0480288,46.3144754,"46.3144754, 11.0480288"
Parc de la Cité internationale,,2.337492,48.818341,"48.818341, 2.337492"
Maison internationale,,2.3381709826983608,48.819129532139726,"48.819129532139726,2.3381709826983608"
